PlayerName,NumSeasons,AvgPER,CareerPoints,Gender
Bill Smith,1,5.7,23,M
Sam Stith,1,7.9,141,M
Horace Walker,1,10.2,438,M
Bob Wiesenhahn,1,7.5,119,M
Wayne Yates,1,4.1,72,M
Dave Zeller,1,9.1,90,M
John Barnhill,9,10.88,4247,M
Zelmo Beaty*,8,16.46,9107,M
Bill Bridges,19,13.47,12924,M
Len Chappell,17,13.9,8139,M
Johnny Cox,1,10.3,573,M
Dave DeBusschere*,14,15.26,15294,M
Terry Dischinger,9,15.81,9012,M
Danny Doyle,1,22.2,16,M
Bob Duffy,6,10.13,632,M
Leroy Ellis,16,12.33,11147,M
Dave Fedor,1,2.2,6,M
Jack Foley,3,15.4,106,M
Dave Gunther,1,31.6,2,M
Charlie Hardnett,3,13.47,1198,M
John Havlicek*,16,17.33,26395,M
Wayne Hightower,9,10.5,3978,M
Paul Hogue,4,4.1,435,M
Kevin Loughery,15,10.24,13118,M
Bill McGill,7,15.14,2784,M
Porter Meriwether,1,12.4,119,M
Howie Montgomery,1,9.9,144,M
Don Nelson*,14,15.71,10898,M
Mel Nowell,1,10.5,232,M
Bud Olsen,11,9.23,1827,M
John Rudometkin,5,10.48,960,M
Jeff Slade,1,5.8,4,M
Tom Stith,1,6.5,77,M
Dan Swartz,1,12.3,175,M
Dan Tieman,1,4.1,34,M
Gene Tormohlen,6,11.2,1191,M
Chico Vaughn,7,10.91,3391,M
Chet Walker*,13,17.53,18831,M
Ben Warley,7,11.09,2063,M
Ralph Wells,1,-0.2,2,M
Hubie White,2,6.2,171,M
Gene Wiley,4,9.33,1273,M
Jay Arnette,3,2.3,424,M
Larry Comley,1,5.6,25,M
Mel Gibson,1,2.5,13,M
Jerry Greenspan,2,12.2,122,M
Reggie Harding,4,11.35,1839,M
Jerry Harkness,1,11.9,29,M
Art Heyman,5,11.58,1569,M
Gary Hill,4,4.3,397,M
Tom Hoover,3,8.37,350,M
Gus Johnson*,10,16.15,9944,M
Jim King,12,11.64,4516,M
Don Kojis,12,14.7,9948,M
Jerry Lucas*,13,18.27,15063,M
Eddie Miles,11,12.05,8729,M
Mel Peterson,1,20.8,2,M
Ken Rohloff,1,-9.6,0,M
Larry Siegfried,11,11.91,6078,M
Roger Strickland,1,-0.1,2,M
Tom Thacker,4,8.5,721,M
Rod Thorn,10,14.6,5792,M
Nate Thurmond*,16,15.58,14783,M
Gerry Ward,4,3.83,542,M
John Windsor,1,12.5,27,M
Jim Barnes,13,12.21,5785,M
Ron Bonham,2,17.35,478,M
Gary Bradds,2,15.55,144,M
Em Bryant,8,9.93,3722,M
Joe Caldwell,8,14.64,8128,M
Mel Counts,16,14.24,7242,M
Steve Courtin,1,6.9,101,M
Jerry Grote,1,14.9,14,M
Happy Hairston,15,16.85,14124,M
Walt Hazzard,12,13.5,9348,M
Les Hunter,1,8.8,42,M
Luke Jackson,14,10.74,5470,M
Larry Jones,2,10.95,854,M
Wali Jones,12,10.83,6195,M
Howard Komives,12,10.54,8519,M
Bud Koper,1,10.6,247,M
Barry Kramer,3,9.93,372,M
McCoy McLemore,14,11.97,6749,M
Jeff Mullins,12,15.44,13017,M
Cotton Nash,3,9.2,274,M
Willis Reed*,10,17.74,12183,M
Paul Silas,16,13.39,11782,M
John Thompson*,2,12.3,262,M
John Tresvant,19,14.76,8890,M
George Wilson,11,10.46,3141,M
Rick Barry*,10,19.85,18395,M
Jesse Branson,1,10.3,5,M
Bill Buntin,1,13.3,324,M
Barry Clemens,11,12.48,5312,M
Billy Cunningham*,9,18.97,13626,M
Keith Erickson,12,11.85,7251,M
John Fairchild,1,3.9,60,M
Will Frazier,1,0.5,1,M
Gail Goodrich*,14,16.29,19181,M
Fred Hetzel,8,14.45,5869,M
Jon McGlocklin,11,12.99,9169,M
Thales McReynolds,1,-3.3,3,M
Ron Reed,2,11.85,951,M
Jerry Sloan*,11,12.86,10571,M
Willie Somerset,1,10.2,45,M
Dave Stallworth,10,13.34,5684,M
Joe Strawder,3,11.33,1977,M
Dick Van,12,14.08,15079,M
Tom Van,18,12.53,17490,M
Bob Warlick,6,9.25,1697,M
Jim Washington,15,11.49,9654,M
Ron Watts,2,16.6,40,M
Bob Weiss,14,11.48,6495,M
Henry Akin,2,7.5,304,M
Johnny Austin,1,5.7,23,M
Jim Barnett,13,13.27,9305,M
Dave Bing*,12,17.44,18327,M
John Block,14,15.39,8620,M
Nate Bowman,5,9.78,702,M
Jerry Chambers,4,12.67,1931,M
Archie Clark,12,17.07,13757,M
Freddie Crawford,9,11.3,2858,M
Dave Deutsch,1,2.4,21,M
Joe Ellis,8,11.8,4623,M
Hank Finkel,9,11.68,2790,M
Matt Guokas,17,8.84,5391,M
Bob Hogsett,1,12.7,16,M
Lou Hudson,13,17.05,17940,M
Neil Johnson,4,9.95,798,M
Toby Kimball,9,11.88,3470,M
Tommy Kron,3,11.0,1193,M
Clyde Lee,12,11.87,6204,M
Freddie Lewis,2,10.9,373,M
Bob Love,16,13.47,14615,M
Jack Marin,15,14.43,14251,M
Bill Melchionni,2,11.35,640,M
Wayne Molis,1,11.7,45,M
Erwin Mueller,13,10.52,4967,M
Dorie Murrey,8,11.59,1914,M
Flynn Robinson,13,16.91,10283,M
Cazzie Russell,12,15.47,12377,M
Dave Schellhase,2,8.6,208,M
Dick Snyder,15,13.3,12836,M
Jim Ware,2,6.25,143,M
Walt Wesley,14,12.2,5282,M
Bud Acton,1,9.5,77,M
Cliff Anderson,5,10.42,333,M
Bill Bradley*,10,12.04,9217,M
Tyrone Britt,1,9.5,28,M
Jim Burns,1,4.3,4,M
Jim Caldwell,1,0.0,0,M
George Carter,1,21.3,3,M
Jim Davis,11,12.77,4391,M
Bill Dinwiddie,4,7.4,974,M
Sonny Dove,2,10.0,174,M
Ron Filipek,1,13.5,43,M
Jim Fox,16,14.24,8905,M
Walt Frazier*,13,18.03,15581,M
Mal Graham,2,6.7,327,M
Gary Gray,1,5.4,105,M
Dennis Hamilton,2,13.35,197,M
Clem Haskins,9,14.84,8743,M
Al Jackson,1,-9.2,0,M
Phil Jackson*,12,11.86,5428,M
Johnny Jones,1,9.0,214,M
Nick Jones,3,10.33,1003,M
Dave Lattin,2,10.05,506,M
George Lehmann,2,10.35,213,M
Bobby Lewis,4,10.85,1481,M
Paul Long,3,17.3,274,M
Plummer Lott,2,3.5,147,M
Ed Manning,6,10.07,1698,M
Stan McKenzie,9,11.01,3705,M
Jay Miller,2,0.35,29,M
Earl Monroe*,15,16.51,18203,M
George Patterson,1,7.9,120,M
Jim Reid,1,10.6,21,M
Pat Riley*,11,10.56,4195,M
Bob Rule,12,12.13,8295,M
Craig Spitzer,1,14.6,18,M
Al Tucker,8,13.0,3673,M
Bill Turner,10,8.45,2156,M
Jimmy Walker,11,13.85,13092,M
Rick Weitzman,1,5.6,33,M
Roland West,1,6.8,4,M
John Wetzel,7,9.43,1215,M
Ken Wilburn,2,13.05,18,M
Art Williams,7,13.67,2876,M
Tom Workman,5,7.54,165,M
Zaid Abdul-Aziz,14,13.75,4978,M
Rick Adelman,10,10.96,3898,M
Bob Allen,1,6.8,48,M
Harry Barnes,1,2.4,43,M
Ed Biedenbach,1,2.7,4,M
Tom Boerwinkle,10,15.55,4596,M
Jay Carty,1,10.1,76,M
Don Chaney,13,10.1,6462,M
Dick Cunningham,7,8.99,1012,M
Fred Foster,10,9.71,4462,M
Pat Frink,1,7.9,123,M
Gary Gregor,5,11.72,2905,M
Al Hairston,2,10.65,91,M
Shaler Halimon,6,6.68,1845,M
Skip Harlicka,1,14.8,106,M
Art Harris,6,8.62,2827,M
Elvin Hayes*,16,17.29,27313,M
Bill Hewitt,8,9.35,2336,M
Bill Hosket,4,14.4,573,M
Rich Johnson,3,13.9,457,M
Bob Kauffman,7,15.31,6049,M
Joe Kennedy,2,3.35,454,M
Rod Knowles,1,-0.1,9,M
Stu Lantz,10,12.41,7430,M
Don May,9,12.86,3792,M
Otto Moore,13,12.25,6177,M
Dave Newmark,2,11.95,769,M
Rich Niemann,4,10.55,220,M
Barry Orms,1,3.2,181,M
