q_id,doc_id,Gender,PlayerName,NumSeasons,AvgPER,CareerPoints
1,261,0,Forest Able,1,-41.1,0
1,262,0,Bob Armstrong,1,7.8,28
1,263,0,John Barber,1,4.2,7
1,264,0,Gary Bergen,1,4.7,8
1,266,0,Bob Burrow,2,10.85,459
1,267,0,Si Green,10,10.93,4132
1,268,0,Richie Guerin*,15,16.87,15725
1,270,0,Tom Heinsohn*,9,17.73,12194
1,271,0,Joe Holup,5,10.06,1600
1,272,0,Bob Hopkins,4,13.85,2237
1,274,0,Hal Lear,1,1.0,4
1,275,0,Slick Leonard*,7,9.83,4204
1,276,0,Johnny McCarthy,6,7.9,2450
1,277,0,Willie Naulls,14,15.28,12929
1,278,0,Jim Paxson,15,13.75,12651
1,281,0,Bill Russell*,13,19.01,14522
1,282,0,Ron Shavlik,2,-3.75,10
1,283,0,Ron Sobie,6,10.73,1724
1,284,0,Norm Stewart,1,-1.9,10
1,286,0,Lou Tsioropoulos,3,7.43,910
1,287,0,Doug Bolstorff,1,2.2,4
1,288,0,George Brown,1,-7.2,1
1,289,0,Dick Duckett,1,8.0,132
1,290,0,Pat Dunn,1,9.4,70
1,291,0,Bill Ebben,1,1.1,15
1,292,0,Bo Erias,1,8.9,148
1,293,0,Larry Friend,1,7.7,175
1,294,0,Hot Rod,19,13.67,13409
1,295,0,McCoy Ingram,1,7.6,67
1,296,0,Sam Jones*,12,18.42,15411
1,298,0,Brendan McCann,3,1.67,74
1,299,0,Worthy Patterson,1,11.0,7
1,300,0,Jerry Paulson,1,7.9,20
1,301,0,Ray Radziszewski,1,-8.9,0
1,302,0,Lennie Rosenbluth,2,11.6,342
1,303,0,Woody Sauldsberry,8,8.09,5094
1,304,0,Guy Sparrow,5,8.64,1503
1,305,0,Charlie Tyra,5,11.86,3091
1,306,0,Jim Walsh,1,5.0,20
1,307,0,Win Wilfong,4,10.4,1826
1,308,0,Elgin Baylor*,14,20.99,23149
1,309,0,Jerry Bird,1,12.9,25
1,310,0,Bucky Bockhorn,7,10.2,5430
1,311,0,Pete Brennan,1,7.2,40
1,312,0,Barney Cable,12,10.68,3770
1,313,0,Archie Dees,3,14.57,1411
1,314,0,Connie Dierking,14,11.59,7941
1,315,0,Boo Ellis,2,12.3,607
1,316,0,Wayne Embry*,11,14.8,10380
1,319,0,Hal Greer*,15,15.19,21586
1,321,0,Vern Hatton,5,8.8,1297
1,322,0,Andy Johnson,4,10.88,2847
1,323,0,K.C. Jones*,9,10.5,5011
1,324,0,Tommy Kearns,1,8.8,2
1,325,0,Shellie McMillon,6,13.02,3035
1,326,0,Jim Palmer,5,11.86,2206
